date, timeslot, station, inFlow, outFlow
20170503,189,2035,2692,1173
20170503,190,2035,2851,1232
20170503,191,2035,2667,994
20170505,192,2035,175,1219
20170505,193,2035,242,1071
20170505,194,2035,354,914
20170505,195,2035,409,827
20170505,196,2035,633,1241
20170505,197,2035,775,1460
20170505,198,2035,1035,1843
20170505,199,2035,1271,2472
20170505,200,2035,1646,4204
20170505,201,2035,1637,5333
20170505,202,2035,1608,6746
20170505,203,2035,1529,7618
20170505,204,2035,1311,5911
20170505,205,2035,1186,4573
20170505,206,2035,1120,3790
20170505,207,2035,1050,3201
20170505,208,2035,971,2497
20170505,209,2035,1017,2161
20170505,210,2035,1003,2310
20170505,211,2035,1078,1951
20170505,212,2035,1113,1945
20170505,213,2035,1244,1909
20170505,214,2035,1305,1798
20170505,215,2035,1433,1917
20170505,216,2035,1482,1948
20170505,217,2035,1619,1924
20170505,218,2035,1719,2036
20170505,219,2035,1856,2208
20170505,220,2035,2014,2340
20170505,221,2035,2075,2225
20170505,222,2035,2034,2448
20170505,223,2035,2282,2294
20170505,224,2035,2361,2296
20170505,225,2035,2358,2315
20170505,226,2035,2463,2231
20170505,227,2035,2557,2337
20170505,228,2035,2600,2288
20170505,229,2035,2757,2376
20170505,230,2035,2835,2225
20170505,231,2035,2825,2181
20170505,232,2035,2869,2252
20170505,233,2035,2854,2261
20170505,234,2035,3017,2486
20170505,235,2035,3091,2524
20170505,236,2035,3309,2791
20170505,237,2035,3636,3231
20170505,238,2035,4601,3860
20170505,239,2035,5071,4112
20170505,240,2035,5692,4200
20170505,241,2035,6167,4460
20170505,242,2035,5894,3930
20170505,243,2035,5858,3518
20170505,244,2035,4759,2854
20170505,245,2035,4333,2328
20170505,246,2035,3544,2019
20170505,247,2035,3369,1827
20170505,248,2035,3056,1699
20170505,249,2035,3036,1746
20170505,250,2035,2985,1711
20170505,251,2035,3224,1776
20170505,252,2035,3685,1833
20170505,253,2035,3622,1868
20170505,254,2035,3749,1732
20170505,255,2035,3764,1592
20170506,256,2035,195,841
20170506,257,2035,230,942
20170506,258,2035,290,767
20170506,259,2035,332,941
20170506,260,2035,393,1048
20170506,261,2035,493,1114
20170506,262,2035,533,1101
20170506,263,2035,591,1225
20170506,264,2035,681,1496
20170506,265,2035,745,1621
20170506,266,2035,830,2495
20170506,267,2035,833,2698
20170506,268,2035,863,2362
20170506,269,2035,896,1959
20170506,270,2035,841,2385
20170506,271,2035,858,2403
20170506,272,2035,954,2435
20170506,273,2035,974,2624
20170506,274,2035,1003,2619
20170506,275,2035,1105,2875
20170506,276,2035,1155,2890
20170506,277,2035,1192,2706
20170506,278,2035,1194,2580
20170506,279,2035,1332,2632
20170506,280,2035,1524,2656
20170506,281,2035,1633,2662
20170506,282,2035,1798,2944
20170506,283,2035,1846,2989
20170506,284,2035,1913,3135
20170506,285,2035,2093,3198
20170506,286,2035,2172,3209
20170506,287,2035,2381,3429
20170506,288,2035,2388,3271
20170506,289,2035,2596,3303
20170506,290,2035,2813,3250
20170506,291,2035,2945,3579
20170506,292,2035,3230,3312
20170506,293,2035,3257,3339
20170506,294,2035,3362,3253
20170506,295,2035,3339,2969
20170506,296,2035,3568,3036
20170506,297,2035,3562,3115
20170506,298,2035,3719,3311
20170506,299,2035,3883,3392
20170506,300,2035,3974,3674
20170506,301,2035,4218,3425
20170506,302,2035,4022,3290
20170506,303,2035,3840,3119
20170506,304,2035,3699,2886
20170506,305,2035,3677,2737
20170506,306,2035,3368,2606
20170506,307,2035,3384,2685
20170506,308,2035,3275,2135
20170506,309,2035,3183,2126
20170506,310,2035,2995,2000
20170506,311,2035,3052,1965
20170506,312,2035,3114,2010
20170506,313,2035,3420,1974
20170506,314,2035,3509,1904
20170506,315,2035,3825,2000
20170506,316,2035,3760,1870
20170506,317,2035,3952,1936
20170506,318,2035,4018,1849
20170506,319,2035,3935,1592
20170507,320,2035,162,591
20170507,321,2035,174,534
20170507,322,2035,224,499
20170507,323,2035,252,572
20170507,324,2035,317,591
20170507,325,2035,341,704
20170507,326,2035,420,895
20170507,327,2035,485,920
20170507,328,2035,579,1139
20170507,329,2035,634,1334
20170507,330,2035,717,1803
20170507,331,2035,718,2499
20170507,332,2035,768,2030
20170507,333,2035,814,2008
20170507,334,2035,830,2203
20170507,335,2035,813,2412
20170507,336,2035,866,2171
20170507,337,2035,942,2298
20170507,338,2035,947,2399
20170507,339,2035,1040,2618
20170507,340,2035,985,2594
20170507,341,2035,1122,2390
20170507,342,2035,1232,2370
20170507,343,2035,1361,2415
20170507,344,2035,1374,2357
20170507,345,2035,1498,2524
20170507,346,2035,1622,2604
20170507,347,2035,1817,2734
20170507,348,2035,1939,2740
20170507,349,2035,2023,2953
20170507,350,2035,2161,3083
20170507,351,2035,2321,3330
20170507,352,2035,2372,3332
20170507,353,2035,2624,3050
20170507,354,2035,2812,3231
20170507,355,2035,2832,3008
20170507,356,2035,3048,3072
20170507,357,2035,3219,3058
20170507,358,2035,3433,2821
20170507,359,2035,3391,2905
20170507,360,2035,3533,2915
20170507,361,2035,3656,2960
20170507,362,2035,3782,2949
20170507,363,2035,3851,2985
20170507,364,2035,3906,3112
20170507,365,2035,3776,2946
20170507,366,2035,3882,2965
20170507,367,2035,3704,2687
20170507,368,2035,3517,2605
20170507,369,2035,3437,2366
20170507,370,2035,3314,2421
20170507,371,2035,3147,2244
20170507,372,2035,3065,2129
20170507,373,2035,3027,1810
20170507,374,2035,2941,1684
20170507,375,2035,2903,1700
20170507,376,2035,2896,1704
20170507,377,2035,2862,1572
20170507,378,2035,3022,1611
20170507,379,2035,3077,1526
20170507,380,2035,3128,1562
20170507,381,2035,3075,1426
20170507,382,2035,2954,1129
20170507,383,2035,2714,1058
20170510,384,2035,236,718
20170510,385,2035,321,669
20170510,386,2035,361,800
20170510,387,2035,485,1053
20170510,388,2035,658,1336
20170510,389,2035,857,1565
20170510,390,2035,1107,2000
20170510,391,2035,1471,2789
20170510,392,2035,1647,4210
20170510,393,2035,1701,5510
20170510,394,2035,1595,7329
20170510,395,2035,1660,7595
20170510,396,2035,1372,5996
20170510,397,2035,1262,4575
20170510,398,2035,1246,3837
20170510,399,2035,1140,3363
20170510,400,2035,1081,2488
20170510,401,2035,1070,2291
20170510,402,2035,1064,2311
20170510,403,2035,1116,1996
20170510,404,2035,1126,1927
20170510,405,2035,1195,1700
20170510,406,2035,1295,1924
20170510,407,2035,1376,1810
20170510,408,2035,1514,1717
20170510,409,2035,1558,1809
20170510,410,2035,1673,1979
20170510,411,2035,1764,2001
20170510,412,2035,1803,2047
20170510,413,2035,1961,2207
20170510,414,2035,2109,2244
20170510,415,2035,1986,2017
20170510,416,2035,2124,2203
20170510,417,2035,2226,2077
20170510,418,2035,2268,1972
20170510,419,2035,2351,1893
20170510,420,2035,2440,1929
20170510,421,2035,2352,1871
20170510,422,2035,2418,1843
20170510,423,2035,2349,1934
20170510,424,2035,2549,1895
20170510,425,2035,2531,1874
20170510,426,2035,2694,1973
20170510,427,2035,2704,1994
20170510,428,2035,3173,2451
20170510,429,2035,3593,2817
20170510,430,2035,4431,3323
20170510,431,2035,5164,3498
20170510,432,2035,5667,3638
20170510,433,2035,6125,3733
20170510,434,2035,5983,3283
20170510,435,2035,5742,2897
20170510,436,2035,4892,2377
20170510,437,2035,4209,2087
20170510,438,2035,3634,1743
20170510,439,2035,3143,1649
20170510,440,2035,2949,1484
20170510,441,2035,2899,1425
20170510,442,2035,2884,1287
20170510,443,2035,2757,1461
20170510,444,2035,2920,1466
20170510,445,2035,2943,1389
20170510,446,2035,3042,1306
20170510,447,2035,3007,1192
20170511,448,2035,202,480
20170511,449,2035,256,541
20170511,450,2035,383,733
20170511,451,2035,516,899
20170511,452,2035,654,1257
20170511,453,2035,868,1525
20170511,454,2035,1100,1971
20170511,455,2035,1274,2705
20170511,456,2035,1595,4149
20170511,457,2035,1673,5580
20170511,458,2035,1632,6790
20170511,459,2035,1575,7681
20170511,460,2035,1317,5548
20170511,461,2035,1291,4832
20170511,462,2035,1097,3644
20170511,463,2035,1021,3023
20170511,464,2035,1026,2333
20170511,465,2035,1024,2210
20170511,466,2035,1047,2066
20170511,467,2035,1037,1829
20170511,468,2035,1104,1724
20170511,469,2035,1147,1717
20170511,470,2035,1265,1770
20170511,471,2035,1328,1726
20170511,472,2035,1281,1634
20170511,473,2035,1517,1756
20170511,474,2035,1478,1777
20170511,475,2035,1600,1867
20170511,476,2035,1781,1929
20170511,477,2035,1795,1921
20170511,478,2035,1830,1969
20170511,479,2035,1938,1975
20170511,480,2035,1944,2054
20170511,481,2035,2030,1869
20170511,482,2035,2024,1845
20170511,483,2035,2078,1931
20170511,484,2035,2185,1820
